Order,Win,Layout,Turn - 0,Turn - 1,Turn - 2,Turn - 3,Turn - 4,Turn - 5,Turn - 6,Turn - 7,Turn - 8,Turn - 9,Turn - 10,Turn - 11
8719,2,"8, 5, 8, 7, 4, 6, 7, 4, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 6",3 - 3,"3 - "
8720,2,"8, 5, 8, 7, 4, 6, 7, 4, 6, 3, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 5",3 - 5,"3 - "
8721,2,"8, 5, 8, 7, 4, 6, 7, 4, 6, 5, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 7 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 5",3 - 3,"3 - "
8722,1,"8, 5, 8, 7, 4, 7, 3, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","4, 6 - 3, 5, 6","4, 6 - 3, 6","4 - 3, 6"," - 3, 6"
8723,2,"8, 5, 8, 7, 4, 7, 3, 6, 3, 4, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","4, 6 - 3, 5, 6","4, 6 - 3, 5","4, 6 - 5",6 - 5,"6 - "
8724,1,"8, 5, 8, 7, 4, 7, 3, 6, 3, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","4, 6 - 3, 5, 6","4, 6 - 3, 5","4, 6 - 5",4 - 5," - 5"
8725,1,"8, 5, 8, 7, 4, 7, 3, 6, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","4, 6 - 3, 5, 6","4, 6 - 3, 5","4, 6 - 3",4 - 3," - 3"
8726,1,"8, 5, 8, 7, 4, 7, 4, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 6 - 3, 5, 6","3, 6 - 3, 6","3 - 3, 6"," - 3, 6"
8727,1,"8, 5, 8, 7, 4, 7, 4, 6, 3, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 6 - 3, 5, 6","3, 6 - 3, 5","3, 6 - 5",3 - 5," - 5"
8728,1,"8, 5, 8, 7, 4, 7, 4, 6, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 6 - 3, 5, 6","3, 6 - 3, 5","3, 6 - 3",3 - 3," - 3"
8729,1,"8, 5, 8, 7, 4, 7, 6, 3, 5, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 6",4 - 6," - 6"
8730,2,"8, 5, 8, 7, 4, 7, 6, 3, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 6",4 - 3,"4 - "
8731,1,"8, 5, 8, 7, 4, 7, 6, 3, 6, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 5",4 - 5," - 5"
8732,2,"8, 5, 8, 7, 4, 7, 6, 3, 6, 5, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","4 - 3, 5, 6","4 - 3, 5",4 - 3,"4 - "
8733,2,"8, 5, 8, 7, 4, 7, 6, 4, 5, 3, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 6",3 - 6,"3 - "
8734,2,"8, 5, 8, 7, 4, 7, 6, 4, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 6",3 - 3,"3 - "
8735,2,"8, 5, 8, 7, 4, 7, 6, 4, 6, 3, 5","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 5",3 - 5,"3 - "
8736,2,"8, 5, 8, 7, 4, 7, 6, 4, 6, 5, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 5, 6","3, 4, 6 - 3, 5, 6","3, 4 - 3, 5, 6","3 - 3, 5, 6","3 - 3, 5",3 - 3,"3 - "
8737,1,"8, 5, 8, 7, 5, 6, 3, 4, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","4, 7 - 3, 4, 6","4, 7 - 3, 6","4 - 3, 6"," - 3, 6"
8738,1,"8, 5, 8, 7, 5, 6, 3, 6, 7, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","4, 7 - 3, 4, 6","4, 7 - 3, 4","4 - 3, 4"," - 3, 4"
8739,1,"8, 5, 8, 7, 5, 6, 4, 6, 7, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","3, 7 - 3, 4, 6","3, 7 - 3, 4","3 - 3, 4"," - 3, 4"
8740,1,"8, 5, 8, 7, 5, 6, 7, 3, 4, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 6",4 - 6," - 6"
8741,2,"8, 5, 8, 7, 5, 6, 7, 3, 4, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 6",4 - 3,"4 - "
8742,1,"8, 5, 8, 7, 5, 6, 7, 3, 6, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 4",4 - 4," - 4"
8743,2,"8, 5, 8, 7, 5, 6, 7, 3, 6, 4, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 4",4 - 3,"4 - "
8744,2,"8, 5, 8, 7, 5, 6, 7, 4, 6, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","3, 4 - 3, 4, 6","3 - 3, 4, 6","3 - 3, 4",3 - 4,"3 - "
8745,2,"8, 5, 8, 7, 5, 6, 7, 4, 6, 4, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 7 - 3, 4, 6","3, 4 - 3, 4, 6","3 - 3, 4, 6","3 - 3, 4",3 - 3,"3 - "
8746,1,"8, 5, 8, 7, 5, 7, 3, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","4, 6 - 3, 4, 6","4, 6 - 3, 6","4 - 3, 6"," - 3, 6"
8747,1,"8, 5, 8, 7, 5, 7, 3, 6, 3, 4, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","4, 6 - 3, 4, 6","4, 6 - 3, 4","4, 6 - 4",6 - 4," - 4"
8748,1,"8, 5, 8, 7, 5, 7, 3, 6, 3, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","4, 6 - 3, 4, 6","4, 6 - 3, 4","4, 6 - 4",4 - 4," - 4"
8749,1,"8, 5, 8, 7, 5, 7, 3, 6, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","4, 6 - 3, 4, 6","4, 6 - 3, 4","4, 6 - 3",4 - 3," - 3"
8750,1,"8, 5, 8, 7, 5, 7, 4, 6, 3, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 6 - 3, 4, 6","3, 6 - 3, 4","3, 6 - 4",3 - 4," - 4"
8751,1,"8, 5, 8, 7, 5, 7, 4, 6, 4, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 6 - 3, 4, 6","3, 6 - 3, 4","3, 6 - 3",3 - 3," - 3"
8752,1,"8, 5, 8, 7, 5, 7, 6, 3, 4, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 6",4 - 6," - 6"
8753,2,"8, 5, 8, 7, 5, 7, 6, 3, 4, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 6",4 - 3,"4 - "
8754,1,"8, 5, 8, 7, 5, 7, 6, 3, 6, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 4",4 - 4," - 4"
8755,2,"8, 5, 8, 7, 5, 7, 6, 3, 6, 4, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 4 - 3, 4, 6","4 - 3, 4, 6","4 - 3, 4",4 - 3,"4 - "
8756,2,"8, 5, 8, 7, 5, 7, 6, 4, 6, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 4 - 3, 4, 6","3 - 3, 4, 6","3 - 3, 4",3 - 4,"3 - "
8757,2,"8, 5, 8, 7, 5, 7, 6, 4, 6, 4, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 6","3, 4, 6 - 3, 4, 6","3, 4 - 3, 4, 6","3 - 3, 4, 6","3 - 3, 4",3 - 3,"3 - "
8758,1,"8, 5, 8, 7, 6, 7, 3, 4, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","4, 6 - 3, 4, 5","4, 6 - 3, 5","4 - 3, 5"," - 3, 5"
8759,1,"8, 5, 8, 7, 6, 7, 3, 5, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","4, 6 - 3, 4, 5","4, 6 - 3, 4","4 - 3, 4"," - 3, 4"
8760,1,"8, 5, 8, 7, 6, 7, 4, 5, 6, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","3, 6 - 3, 4, 5","3, 6 - 3, 4","3 - 3, 4"," - 3, 4"
8761,1,"8, 5, 8, 7, 6, 7, 6, 3, 4, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","3, 4 - 3, 4, 5","4 - 3, 4, 5","4 - 3, 5",4 - 5," - 5"
8762,2,"8, 5, 8, 7, 6, 7, 6, 3, 4, 5, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","3, 4 - 3, 4, 5","4 - 3, 4, 5","4 - 3, 5",4 - 3,"4 - "
8763,1,"8, 5, 8, 7, 6, 7, 6, 3, 5, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","3, 4 - 3, 4, 5","4 - 3, 4, 5","4 - 3, 4",4 - 4," - 4"
8764,2,"8, 5, 8, 7, 6, 7, 6, 3, 5, 4, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","3, 4 - 3, 4, 5","4 - 3, 4, 5","4 - 3, 4",4 - 3,"4 - "
8765,2,"8, 5, 8, 7, 6, 7, 6, 4, 5, 3, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","3, 4 - 3, 4, 5","3 - 3, 4, 5","3 - 3, 4",3 - 4,"3 - "
8766,2,"8, 5, 8, 7, 6, 7, 6, 4, 5, 4, 3","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 6, 7 - 3, 4, 5, 6, 7","3, 4, 6, 7 - 3, 4, 5, 6","3, 4, 6, 7 - 3, 4, 5","3, 4, 6 - 3, 4, 5","3, 4 - 3, 4, 5","3 - 3, 4, 5","3 - 3, 4",3 - 3,"3 - "
8767,2,"8, 6, 7, 3, 4, 5, 7, 8, 4, 5, 6","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 5, 7 - 3, 4, 5, 6, 7, 8","3, 4, 5, 7 - 3, 4, 5, 6, 8","3, 4, 5, 7 - 4, 5, 6, 8","3, 5, 7 - 4, 5, 6, 8","3, 5, 7 - 4, 6, 8","3, 5 - 4, 6, 8","3, 5 - 4, 6","3, 5 - 6",3 - 6,"3 - "
8768,2,"8, 6, 7, 3, 4, 5, 7, 8, 6, 4","3, 4, 5, 6, 7, 8 - 3, 4, 5, 6, 7, 8","3, 4, 5, 6, 7 - 3, 4, 5, 6, 7, 8","3, 4, 5, 7 - 3, 4, 5, 6, 7, 8","3, 4, 5, 7 - 3, 4, 5, 6, 8","3, 4, 5, 7 - 4, 5, 6, 8","3, 5, 7 - 4, 5, 6, 8","3, 5, 7 - 4, 6, 8","3, 5 - 4, 6, 8","3, 5 - 4, 6","3, 5 - 4","3, 5 - "
